run_name,seed,learning_rate,mean_reward,std_reward,mean_defender_reward,std_defender_reward,mean_attacker_reward,std_attacker_reward,final_avg_reward,convergence_step,training_time_s,reward_volatility,checkpoint_path,experiment_group
lr_sweep_2.0e-04,0,0.0002,233.6835954920366,188.77412039088966,291.3172948190185,29.791117540532504,-57.63369932698187,174.50347437262138,338.18266666666665,356,568.5077822208405,188.77412039088966,/Users/SL/Documents/expproject/MARL/results/ch4/module1_convergence/logs/module1_tuned_400_lr_sweep_2.0e-04,learning_rate_sweep
lr_sweep_1.0e-04,0,0.0001,248.00052499779758,177.66079905340578,299.67613707126475,29.542009562628166,-51.67561207346714,160.64423223502817,339.90133333333335,352,539.8867678642273,177.66079905340578,/Users/SL/Documents/expproject/MARL/results/ch4/module1_convergence/logs/module1_tuned_400_lr_sweep_1.0e-04,learning_rate_sweep
lr_sweep_7.0e-05,0,7e-05,222.3133286835087,175.0640482347784,277.4557461845097,28.594488453528072,-55.142417501001006,163.06375571696788,315.688,352,552.4920439720154,175.0640482347784,/Users/SL/Documents/expproject/MARL/results/ch4/module1_convergence/logs/module1_tuned_400_lr_sweep_7.0e-05,learning_rate_sweep
lr_sweep_5.0e-05,0,5e-05,220.74673209564253,177.7964801702951,279.02086202196466,28.084219072150034,-58.27412992632213,164.3537306393743,320.47133333333335,356,553.220517873764,177.7964801702951,/Users/SL/Documents/expproject/MARL/results/ch4/module1_convergence/logs/module1_tuned_400_lr_sweep_5.0e-05,learning_rate_sweep
seed_stability_0,0,7e-05,222.3133286835087,175.0640482347784,277.4557461845097,28.594488453528072,-55.142417501001006,163.06375571696788,315.688,352,553.5704100131989,175.0640482347784,/Users/SL/Documents/expproject/MARL/results/ch4/module1_convergence/logs/module1_tuned_400_seed_stability_0,seed_stability
seed_stability_1,1,7e-05,240.10545678869494,177.42989943377933,287.99742192283236,51.901903103079945,-47.89196513413741,142.48368500265536,338.67766666666665,194,526.2348830699921,177.42989943377933,/Users/SL/Documents/expproject/MARL/results/ch4/module1_convergence/logs/module1_tuned_400_seed_stability_1,seed_stability
seed_stability_2,2,7e-05,220.45560347921733,179.04994136353156,278.8947634649421,23.26295701575121,-58.439159985724814,172.65726893945254,305.68766666666664,95,531.2863399982452,179.04994136353156,/Users/SL/Documents/expproject/MARL/results/ch4/module1_convergence/logs/module1_tuned_400_seed_stability_2,seed_stability
seed_stability_3,3,7e-05,220.61976131229602,206.60331011800926,296.5225913194519,34.32029115550882,-75.90283000715593,204.81501333076926,337.712,357,522.6365559101105,206.60331011800926,/Users/SL/Documents/expproject/MARL/results/ch4/module1_convergence/logs/module1_tuned_400_seed_stability_3,seed_stability
seed_stability_4,4,7e-05,234.65109037891645,164.11282365980455,287.9677491420553,36.30738048803475,-53.31665876313885,160.64634011836927,346.18066666666664,367,547.4581100940704,164.11282365980455,/Users/SL/Documents/expproject/MARL/results/ch4/module1_convergence/logs/module1_tuned_400_seed_stability_4,seed_stability
seed_stability_aggregate,aggregate,7e-05,227.62904812852668,180.45200456198063,285.76765440675825,34.87740404318056,-58.1386062782316,168.73321262164285,328.7892,273.0,536.2372598171235,180.45200456198063,,seed_stability_aggregate
